Show_ID,Type,Title,Category,Date_Added,Rating,Director,Description
s58,Movie,Naruto Shippûden the Movie: Bonds,"Action & Adventure, Anime Features, International Movies",2021-09-15,TV-PG,Hajime Kamegaki,"When strange ninjas ambush the village of Konohagakure, it's up to adolescent ninja Naruto and his long-missing pal, Sasuke, to save the planet."
s59,Movie,Naruto Shippûden the Movie: The Will of Fire,"Action & Adventure, Anime Features, International Movies",2021-09-15,TV-PG,Masahiko Murata,"When four out of five ninja villages are destroyed, the leader of the one spared tries to find the true culprit and protect his land."
s60,Movie,Naruto Shippuden: The Movie,"Action & Adventure, Anime Features, International Movies",2021-09-15,TV-PG,Hajime Kamegaki,"The adventures of adolescent ninja Naruto Uzumaki continue as he's tasked with protecting a priestess from a demon – but to do so, he must die."
s61,Movie,Naruto Shippuden: The Movie: The Lost Tower,"Action & Adventure, Anime Features, International Movies",2021-09-15,TV-14,Masahiko Murata,"When Naruto is sent to recover a missing nin, the rogue manages to send him 20 years into the past, where he unites with his father to battle evil."
s62,Movie,Naruto the Movie 2: Legend of the Stone of Gelel,"Action & Adventure, Anime Features, International Movies",2021-09-15,TV-PG,Hirotsugu Kawasaki,"While on a mission to return a missing pet, Naruto and two fellow ninjas are ambushed by brutal knights led by the enigmatic Temujin."
s63,Movie,Naruto the Movie 3: Guardians of the Crescent Moon Kingdom,"Action & Adventure, Anime Features, International Movies",2021-09-15,TV-PG,Toshiyuki Tsuru,"Exuberant ninja Naruto teams up with his pals Sakura and Kakashi to escort Prince Michiru and his son, Hikaru, to the Crescent Moon kingdom."
s64,Movie,Naruto the Movie: Ninja Clash in the Land of Snow,"Action & Adventure, Anime Features, International Movies",2021-09-15,TV-PG,Tensai Okamura,"Naruto, Sasuke and Sakura learn they'll be protecting an actress from being hurt while making her next film, but it turns out she's a princess."
s74,Movie,King of Boys,"Dramas, International Movies",2021-09-14,TV-MA,Kemi Adetiba,"When a powerful businesswoman’s political ambitions are threatened by her underworld connections, the ensuing power struggle could cost her everything."
s82,Movie,Kate,Action & Adventure,2021-09-10,R,Cedric Nicolas-Troyan,"Slipped a fatal poison on her final job, a ruthless assassin working in Tokyo has less than 24 hours to find out who ordered the hit and exact revenge."
s85,Movie,Omo Ghetto: the Saga,"Action & Adventure, Comedies, Dramas",2021-09-10,TV-MA,"JJC Skillz, Funke Akindele","Twins are reunited as a good-hearted female gangster and her uptight rich sister take on family, crime, cops and all of the trouble that follows them."
s91,Movie,Paradise Hills,"Sci-Fi & Fantasy, Thrillers",2021-09-09,TV-MA,Alice Waddington,"Uma wakes up in a lush tropical facility designed to turn willful girls into perfect ladies. That’s bad enough, but its real purpose is even worse."
s95,Movie,Show Dogs,"Children & Family Movies, Comedies",2021-09-08,PG,Raja Gosnell,A rough and tough police dog must go undercover with an FBI agent as a prim and proper pet at a dog show to save a baby panda from an illegal sale.
s97,Movie,If I Leave Here Tomorrow: A Film About Lynyrd Skynyrd,"Documentaries, Music & Musicals",2021-09-07,TV-MA,Stephen Kijak,"Using interviews and archival footage, this documentary charts the story of the legendary Southern rockers with a focus on front man Ronnie Van Zant."
s106,Movie,Angamaly Diaries,"Action & Adventure, Comedies, Dramas",2021-09-05,TV-14,Lijo Jose Pellissery,"After growing up amidst the gang wars of his hometown, Vincent forms an entrepreneurial squad of his own and ends up on the wrong side of the law."
s108,Movie,A Champion Heart,"Children & Family Movies, Dramas",2021-09-04,G,David de Vos,"When a grieving teen must work off her debt to a ranch, she cares for a wounded horse that teaches her more about healing than she expected."
s115,Movie,Anjaam,"Dramas, International Movies, Thrillers",2021-09-02,TV-14,Rahul Rawail,"A wealthy industrialist’s dangerous obsession with a flight attendant destroys her world, until she takes matters into her own hands to exact revenge."
s116,Movie,Bright Star,"Dramas, Romantic Movies",2021-09-02,PG,Jane Campion,This drama details the passionate three-year romance between Romantic poet John Keats – who died tragically at age 25 – and his great love and muse.
s117,Movie,Dhanak,"Comedies, Dramas, Independent Movies",2021-09-02,TV-PG,Nagesh Kukunoor,A movie-loving 10-year-old and her blind little brother trek to meet Indian superstar Shah Rukh Khan for help in getting the boy an eye operation.
s119,Movie,Gurgaon,"Dramas, International Movies, Thrillers",2021-09-02,TV-14,Shanker Raman,"When the daughter of a wealthy family returns from college, she gets a frosty welcome from her brother, who has problems – and plans – of his own."
s123,Movie,In the Cut,Thrillers,2021-09-02,R,Jane Campion,"After embarking on an affair with the cop probing the murder of a young woman, an insular schoolteacher suspects her lover was involved in the crime."
s127,Movie,Shikara,"Dramas, International Movies, Romantic Movies",2021-09-02,TV-14,Vidhu Vinod Chopra,A couple must strive to remain resilient after regional hostilities drive them from their beloved home into a refugee camp.
s128,Movie,A Cinderella Story,"Children & Family Movies, Comedies",2021-09-01,PG,Mark Rosman,Teen Sam meets the boy of her dreams at a dance before returning to toil in her stepmother's diner. Can her lost cell phone bring them together?
s130,Movie,An Unfinished Life,Dramas,2021-09-01,PG-13,Lasse Hallström,"A grieving widow and her daughter move in with her estranged father-in-law in Wyoming, where time allows them to heal and forgive."
s132,Movie,Blade Runner: The Final Cut,"Action & Adventure, Classic Movies, Cult Movies",2021-09-01,R,Ridley Scott,"In a smog-choked dystopian Los Angeles, blade runner Rick Deckard is called out of retirement to snuff a quartet of escaped ""replicants."""
s134,Movie,Chappie,"Action & Adventure, Sci-Fi & Fantasy",2021-09-01,R,Neill Blomkamp,"In a futuristic society where an indestructible robot police force keeps crime at bay, a lone droid evolves to the next level of artificial intelligence."
s135,Movie,Clear and Present Danger,"Action & Adventure, Dramas",2021-09-01,PG-13,Phillip Noyce,"When the president's friend is murdered, CIA Deputy Director Jack Ryan becomes unwittingly involved in an illegal war against a Colombian drug cartel."
s136,Movie,Cliffhanger,Action & Adventure,2021-09-01,R,Renny Harlin,"Ranger Gabe Walker and his partner are called to rescue a group of stranded climbers, only to learn the climbers are actually thieving hijackers."
s137,Movie,Cold Mountain,"Dramas, Romantic Movies",2021-09-01,R,Anthony Minghella,"This drama follows a wounded Civil War soldier making the long journey home, while his faraway love fights for survival on her deceased father's farm."
s138,Movie,Crocodile Dundee in Los Angeles,"Action & Adventure, Comedies",2021-09-01,PG,Simon Wincer,"When Mick ""Crocodile"" Dundee and his family land in Los Angeles, they soon learn some lessons about American life in this comedy sequel."
s139,Movie,Dear John,"Dramas, Romantic Movies",2021-09-01,PG-13,Lasse Hallström,"While on summer leave, a U.S. soldier falls for a college student. But when he's forced to reenlist, their handwritten letters hold the lovers together."
s140,Movie,Do the Right Thing,"Classic Movies, Comedies, Dramas",2021-09-01,R,Spike Lee,"On a sweltering day in Brooklyn, simmering racial tensions between residents rise to the surface and ignite rage, violence and tragedy."
s141,Movie,"El patrón, radiografía de un crimen","Dramas, International Movies, Thrillers",2021-09-01,TV-MA,Sebastián Schindel,A lawyer defends an illiterate man whose exploitation by a cruel boss while working as a butcher in Buenos Aires led to tragedy. Based on a true case.
s142,Movie,Extraction,Action & Adventure,2021-09-01,R,Steven C. Miller,"When a retired CIA agent is kidnapped, his son, a government analyst, embarks on an unauthorized mission to find him and halt a terrorist plot."
s143,Movie,Freedom Writers,Dramas,2021-09-01,PG-13,Richard LaGravenese,"While her at-risk students are reading classics such as ""The Diary of Anne Frank,"" a teacher asks them to keep journals about their troubled lives."
s144,Movie,Green Lantern,"Action & Adventure, Sci-Fi & Fantasy",2021-09-01,PG-13,Martin Campbell,Test pilot Hal Jordan harnesses glowing new powers for good when he wears an otherworldly ring and helps an intergalactic force stop a powerful threat.
s145,Movie,House Party,"Comedies, Cult Movies",2021-09-01,R,Reginald Hudlin,"Grounded by his strict father, Kid risks life and limb to go to his best friend Play's big bash but experiences one obstacle after another."
s146,Movie,House Party 2,"Comedies, Cult Movies, Music & Musicals",2021-09-01,R,"George Jackson, Doug McHenry","Kid goes off to college with scholarship money but when Play loses Kid's tuition funds to a shady music promoter, they devise a wild plan to raise cash."
s147,Movie,House Party 3,"Comedies, Music & Musicals",2021-09-01,R,Eric Meza,"After Kid gets engaged, Play plans to throw the biggest bachelor party ever. But every celebration for these two always comes with complications."
s150,Movie,I Got the Hook Up,"Action & Adventure, Comedies",2021-09-01,R,Michael Martin,"After getting their hands on a misdirected shipment of cell phones, two hustlers try to cash in by hawking the merchandise from the back of their van."
s151,Movie,In Too Deep,Thrillers,2021-09-01,R,Michael Rymer,"Rookie cop Jeffrey Cole poses as a drug dealer to take down a crime lord and soon gets caught up in an underworld of bribery, intimidation and murder."
s152,Movie,Initial D,"Action & Adventure, International Movies",2021-09-01,TV-14,"Andrew Lau Wai-keung, Alan Mak","By day, an 18-year-old delivers tofu for his father, a retired race car driver; but by night, it's the teen's turn to take the wheel."
s153,Movie,Janoskians: Untold and Untrue,Comedies,2021-09-01,TV-MA,Brett Weiner,Follow the story of three Australian brothers and their two friends who became an international sensation by posting pranks and gags on YouTube.
s156,Movie,Labyrinth,"Action & Adventure, Children & Family Movies, Cult Movies",2021-09-01,PG,Jim Henson,"In Jim Henson's fantasy, teen Sarah embarks on a life-altering quest to rescue her little brother from the clutches of a treacherous goblin."
s157,Movie,Letters to Juliet,"Comedies, Dramas, Romantic Movies",2021-09-01,PG,Gary Winick,"By responding to a letter addressed to Shakespeare's tragic heroine Juliet Capulet, an American woman in Verona, Italy, is led in search of romance."
s158,Movie,Level 16,"Sci-Fi & Fantasy, Thrillers",2021-09-01,TV-14,Danishka Esterhazy,"In a bleak academy that teaches girls the virtues of passivity, two students uncover the ghastly purpose behind their training and resolve to escape."
s159,Movie,Love Don't Cost a Thing,"Comedies, Romantic Movies",2021-09-01,PG-13,Troy Byer,A nerdy teen tries to make himself cool by association when he convinces a popular cheerleader to pose as his girlfriend.
s160,Movie,Love in a Puff,"Comedies, Dramas, International Movies",2021-09-01,TV-MA,Pang Ho-cheung,"When the Hong Kong government enacts a ban on smoking cigarettes indoors, the new law drives hard-core smokers outside, facilitating unlikely connections."
s162,Movie,Mars Attacks!,"Comedies, Cult Movies, Sci-Fi & Fantasy",2021-09-01,PG-13,Tim Burton,"As flying saucers head for Earth, the president of the United States prepares to welcome alien visitors but soon learns they're not coming in peace."
s163,Movie,Marshall,Dramas,2021-09-01,PG-13,Reginald Hudlin,"This biopic of Thurgood Marshall, the first Black U.S. Supreme Court justice, centers on his pivotal work in a sensational case as an NAACP lawyer."
s164,Movie,My Boss's Daughter,"Comedies, Romantic Movies",2021-09-01,R,David Zucker,"A young man house-sits for his mean boss, hoping to use it as an opportunity to win the heart of the boss's daughter, on whom he's long had a crush."
s165,Movie,Mystery Men,"Action & Adventure, Comedies",2021-09-01,PG-13,Kinka Usher,A team of far-from-super heroes try to earn respect by springing into action when brave and dashing Captain Amazing disappears.
s167,Movie,Once Upon a Time in America,"Classic Movies, Dramas",2021-09-01,R,Sergio Leone,Director Sergio Leone's sprawling crime epic follows a group of Jewish mobsters who rise in the ranks of organized crime in 1920s New York City.
s168,Movie,Open Season 2,"Children & Family Movies, Comedies",2021-09-01,PG,"Matthew O'Callaghan, Todd Wilderman",Elliot the buck and his forest-dwelling cohorts must rescue their dachshund pal from some spoiled pets bent on returning him to domesticity.
s169,Movie,Osmosis Jones,"Action & Adventure, Children & Family Movies, Comedies",2021-09-01,PG,"Bobby Farrelly, Peter Farrelly",Peter and Bobby Farrelly outdo themselves with this partially animated tale about an out-of-shape 40-year-old man who's the host to various organisms.
s170,Movie,Poseidon,"Action & Adventure, Dramas",2021-09-01,PG-13,Wolfgang Petersen,"A tidal wave spells disaster for a ship of New Year's Eve revelers when it capsizes the mammoth vessel, sending passengers into a battle for survival."
s171,Movie,Rhyme & Reason,"Documentaries, Music & Musicals",2021-09-01,R,Peter Spirer,"The world and culture of rap song topics such as race, violence, police, family and sex are examined by hip-hop performers from both coasts."
s172,Movie,Same Kind of Different as Me,"Dramas, Faith & Spirituality",2021-09-01,PG-13,Michael Carney,A wealthy couple whose marriage is on the rocks befriends a local homeless man who changes their perspectives in this inspiring true story.
s173,Movie,School of Rock,"Comedies, Music & Musicals",2021-09-01,PG-13,Richard Linklater,"Musician Dewey Finn gets a job as a fourth-grade substitute teacher, where he secretly begins teaching his students the finer points of rock 'n' roll."
s174,Movie,Snervous Tyler Oakley,"Documentaries, LGBTQ Movies",2021-09-01,PG-13,Amy Rice,"The inspiring Internet star and LGBT advocate shares an intimate view of his life and relationships during his international ""Slumber Party"" tour."
s175,Movie,Tears of the Sun,"Action & Adventure, Dramas",2021-09-01,R,Antoine Fuqua,"A Navy SEAL is sent to a war-torn African jungle to rescue a doctor, only to realize he must also save the refugees in the physician's care."
s176,Movie,The Blue Lagoon,"Dramas, Romantic Movies",2021-09-01,R,Randal Kleiser,"Two shipwrecked children, stranded for years on a deserted island, fall in love as teenagers and attempt to forge a life in the isolated paradise."
s177,Movie,The Golden Child,"Action & Adventure, Comedies",2021-09-01,PG-13,Michael Ritchie,A fast-talking L.A. social worker goes through a series of traps and terrors to find a kidnapped Tibetan child with mystical powers.
s178,Movie,The Guns of Navarone,"Action & Adventure, Classic Movies",2021-09-01,TV-14,J. Lee Thompson,"During World War II, British forces launch an attack designed to take out the massive Nazi cannons that guard a critical sea channel."
s179,Movie,The Interview,"Action & Adventure, Comedies",2021-09-01,R,"Evan Goldberg, Seth Rogen",Seth Rogen and James Franco star in this provocative comedy about two journalists recruited by the CIA after they arrange an interview with Kim Jong-un.
s180,Movie,The Nutty Professor,"Comedies, Romantic Movies",2021-09-01,PG-13,Tom Shadyac,"After being made fun of for his weight, a kind and brainy professor takes a dose of a revolutionary formula that changes more than just his appearance."
s183,Movie,Welcome Home Roscoe Jenkins,Comedies,2021-09-01,PG-13,Malcolm D. Lee,"R.J. travels to Georgia for his parents' 50th anniversary. But after pompously flaunting his Hollywood lifestyle, he must examine what he's become."
s184,Movie,In the Line of Fire,"Action & Adventure, Classic Movies",2021-08-31,R,Wolfgang Petersen,A twisted yet ingenious killer torments a veteran Secret Service agent who's haunted by his failure years ago to save President John F. Kennedy.
s189,Movie,2 Alone in Paris,"Comedies, International Movies",2021-08-28,TV-MA,"Ramzy Bedia, Éric Judor","A bumbling Paris policeman is doggedly determined to capture the master thief that repeatedly eludes him, even when they're the last two men on Earth."
s191,Movie,Thimmarusu,"Dramas, International Movies",2021-08-28,TV-14,Sharan Koppisetty,"Eight years after a young man is framed for murder, an up-and-coming lawyer re-opens the case, beginning a tricky mission to find the real culprit."
s192,Movie,Wind River,"Dramas, Independent Movies",2021-08-28,R,Taylor Sheridan,A tracker with the U.S. Fish and Wildlife Service assists a rookie FBI agent who's investigating a teen girl's murder on a remote Wyoming reservation.
s193,Movie,C Kkompany,"Action & Adventure, Comedies, International Movies",2021-08-27,TV-14,Sachin Yardi,"Three broke friends pose as an underworld gang for extortion, but their plan takes on a life of its own when their phony company becomes famous."
s196,Movie,EMI: Liya Hai To Chukana Padega,"Comedies, Dramas, International Movies",2021-08-27,TV-14,Saurabh Kabra,A bank hires an enigmatic and unorthodox debt collector to recover money from four borrowers who are unable to pay their loans.
s199,TV Show,King of Boys: The Return of the King,"Crime TV Shows, International TV Shows, TV Dramas",2021-08-27,TV-MA,Kemi Adetiba,"Alhaja Eniola Salami starts anew and sets her sights on a different position of power, fueled by revenge, regret and ruthlessness."
s200,Movie,Koi Aap Sa,"Comedies, Dramas, International Movies",2021-08-27,TV-14,Partho Mitra,"Star athlete Rohan has his eye on a beautiful art student. But when his best friend Simran experiences a crisis, he drops everything to help her."
s201,Movie,Krishna Cottage,"Action & Adventure, Horror Movies, International Movies",2021-08-27,TV-14,Santram Varma,True love is put to the test when another woman comes between a pair of star-crossed young lovers in this thriller.
s202,Movie,Kucch To Hai,"Dramas, International Movies, Thrillers",2021-08-27,TV-14,"Anil V. Kumar, Anurag Basu","A student tries to steal a test from a teacher's home, leaving him for dead after an accident. A string of murders may be the professor's revenge."
s203,Movie,Kyaa Kool Hai Hum,"Comedies, International Movies, Music & Musicals",2021-08-27,TV-MA,Sangeeth Sivan,"Longtime friends Rahul and Karan head to Mumbai intent on making their dreams come true, but both men are suddenly saddled with bad luck."
s204,Movie,Kyaa Kool Hain Hum 3,"Comedies, International Movies",2021-08-27,TV-MA,Umesh Ghadge,"When an unlikely porn actor falls for a woman outside the industry, he employs his co-stars as a stand-in traditional family to impress her father."
s205,Movie,Kyaa Super Kool Hain Hum,"Comedies, International Movies",2021-08-27,TV-MA,Sachin Yardi,An aspiring actor and a struggling DJ team up to pursue the ladies they love and a diamond that rightfully belongs to their oversexed dog.
s206,Movie,Kyo Kii... Main Jhuth Nahin Bolta,"Comedies, International Movies, Sci-Fi & Fantasy",2021-08-27,TV-14,David Dhawan,The life and career of a lawyer are thrown into chaos when his son's wish magically renders him incapable of telling a lie.
s207,Movie,"LSD: Love, Sex Aur Dhokha","Dramas, Independent Movies, International Movies",2021-08-27,TV-MA,Dibakar Banerjee,This provocative drama examines how the voyeuristic nature of modern society affects three unusual couples in Northern India.
s208,Movie,Mission Istaanbul: Darr Ke Aagey Jeet Hai,"Action & Adventure, International Movies, Music & Musicals",2021-08-27,TV-14,Apoorva Lakhia,A television journalist makes a risky career move by accepting a job offer from a controversial Istanbul television station.
s209,Movie,Once Upon a Time in Mumbaai,"Dramas, International Movies, Music & Musicals",2021-08-27,TV-14,Milan Luthria,"Mumbai's top mob boss rules the underworld with honor and compassion, but his power-hungry protégé will shake up the world of organized crime."
s210,Movie,Once Upon a Time in Mumbai Dobaara!,"Dramas, International Movies, Music & Musicals",2021-08-27,TV-14,Milan Luthria,"This turbulent sequel to Once Upon a Time in Mumbai carries on the saga of the gangland don Shoaib Khan, who continues pressing for more control."
s211,Movie,Ragini MMS,"Horror Movies, International Movies",2021-08-27,TV-MA,Pawan Kripalani,A couple out to have a sensuous weekend at a house outside of Mumbai finds it rigged with surveillance cameras and occupied by an evil entity.
s212,Movie,Ragini MMS 2,"Horror Movies, International Movies",2021-08-27,TV-MA,Bhushan Patel,The horror continues when Ragini's video goes viral and a sleazy director decides to make a movie about the incident in the original house.
s216,Movie,Shootout at Lokhandwala,"Action & Adventure, Dramas, International Movies",2021-08-27,TV-MA,Apoorva Lakhia,"Based on a true story, this action film follows an incident that stunned a nation in the early 1990s. In Mumbai, India, the notorious gangster Maya holds off veteran cop Khan and a force of more than 200 policemen in a six-hour bloody gunfight."
s217,Movie,Shor In the City,"Comedies, Dramas, Independent Movies",2021-08-27,TV-14,"Raj Nidimoru, Krishna D.K.","When three small-time Mumbai crooks steal a bag on a train, they find that it's filled with weapons and realize that their lives may be in danger."
s218,Movie,The Dirty Picture,"Comedies, Dramas, International Movies",2021-08-27,TV-14,Milan Luthria,"After running away from home in search of movie stardom, a village girl rises to become a prominent sex symbol."
s228,Movie,Really Love,"Dramas, Independent Movies, Romantic Movies",2021-08-25,TV-MA,Angel Kristi Williams,A rising Black painter tries to break into a competitive art world while balancing an unexpected romance with an ambitious law student.
s229,Movie,The November Man,Action & Adventure,2021-08-25,R,Roger Donaldson,"An ex-CIA agent emerges from retirement to protect an important witness, but he soon discovers that old friends can make the most dangerous enemies."
s230,Movie,The Old Ways,Horror Movies,2021-08-25,TV-MA,Christopher Alender,"A reporter visits her birthplace in Veracruz for a story about tribal culture, only to be kidnapped by locals who believe she's demonically possessed."
s232,Movie,The Water Man,"Children & Family Movies, Dramas",2021-08-25,PG,David Oyelowo,"Desperate to save his ailing mother, 11-year-old Gunner runs away from home on a quest to find a mythic figure rumored to have the power to cheat death."
s248,Movie,Sweet Girl,"Action & Adventure, Dramas",2021-08-20,R,Brian Andrew Mendoza,"He lost the love of his life to a pharmaceutical company's greed. Now his daughter is without a mother, and he's without justice. For now."
s252,Movie,Like Crazy,"Dramas, Independent Movies, Romantic Movies",2021-08-19,PG-13,Drake Doremus,A spirited exchange student and an American man fall in love in LA. But their romance faces an uphill battle when she is forced to return to England.
s254,Movie,Bombay,"Dramas, International Movies, Romantic Movies",2021-08-18,TV-14,Mani Ratnam,"Years after they elope against their family’s wishes, a couple and their sons become caught in the throes of conflict in their city."
s260,Movie,Pahuna,"Comedies, Dramas, International Movies",2021-08-18,TV-PG,Paakhi Tyrewala,"Fleeing unrest in their native Nepal, three young siblings separated from their parents must beat the odds to survive on their own in India."
s265,Movie,Walk of Shame,"Comedies, Independent Movies",2021-08-16,R,Steve Brill,"After a night of boozy carousing, a local newscaster finds herself stranded on the streets of LA just hours before the job interview of a lifetime."
s268,Movie,The Piano,"Classic Movies, Dramas, Independent Movies",2021-08-15,R,Jane Campion,"With her daughter and her beloved piano in tow, a mute Scottish woman arrives in New Zealand, where a gruff loner sets out to seduce her."
s271,Movie,Beckett,Action & Adventure,2021-08-13,TV-MA,Ferdinando Cito Filomarino,An American tourist goes on the run in Greece after a tragic accident plunges him into a political conspiracy that makes him a target for assassination.
s274,TV Show,Gone for Good,"Crime TV Shows, International TV Shows, TV Dramas",2021-08-13,TV-MA,Juan Carlos Medina,"Ten years after losing two loved ones, a man is plunged into another dizzying mystery when his girlfriend vanishes. Based on a Harlan Coben novel."
s277,TV Show,Valeria,"International TV Shows, Romantic TV Shows, Spanish-Language TV Shows",2021-08-13,TV-MA,Inma Torrente,"A writer in creative and marital crises finds support from three friends, who are also discovering themselves. Based on the novels by Elísabet Benavent."
s279,Movie,Lokillo: Nothing's the Same,Stand-Up Comedy,2021-08-12,TV-MA,Julián Gaviria,"Through songs and puns, comedian Lokillo Florez hilariously reviews how Latin Americans have adjusted to a new world where no-hugging policies prevail."
s280,Movie,Monster Hunter: Legends of the Guild,"Action & Adventure, Anime Features, Children & Family Movies",2021-08-12,TV-PG,Steven Yamamoto,"In a world where humans and fearsome monsters live in an uneasy balance, young hunter Aiden fights to save his village from destruction by a dragon."
s282,Movie,Brother Jekwu,"Comedies, International Movies",2021-08-11,TV-14,Charles Uwagbai,"Chasing wild success, a village hustler follows his cousin from Nigeria to Kenya and stumbles into the shady business affairs of a notorious overlord."
s283,Movie,La diosa del asfalto,"Dramas, Independent Movies, International Movies",2021-08-11,TV-MA,Julián Hernández,"A woman from a tough neighborhood outside Mexico City comes home a rock star, inadvertently provoking a confrontation with the ghosts of her past."
s285,Movie,The Kissing Booth 3,"Comedies, Romantic Movies",2021-08-11,TV-14,Vince Marcello,"Determined to make the most of her final summer before college, Elle plans the ultimate bucket list as she navigates what comes next with Noah and Lee."
s286,Movie,The Railway Man,"Dramas, International Movies",2021-08-11,R,Jonathan Teplitzky,"Decades after World War II, a still-shattered soldier unexpectedly falls in love and sees a bizarre coincidence bring his past back into focus."
s293,Movie,Quartet,"Comedies, Dramas, Independent Movies",2021-08-08,PG-13,Dustin Hoffman,"To save their posh retirement home, former opera stars plan a gala recital — until the biggest diva among them refuses to sing."
s294,Movie,Slay,"Comedies, International Movies, Romantic Movies",2021-08-08,TV-MA,Adze Ugah,"In pursuit of both success and validation, a group of tech-savvy individuals juggle intimate encounters, first impressions and romantic opportunities."
s296,Movie,The Paper Tigers,"Action & Adventure, Comedies",2021-08-07,PG-13,Quoc Bao Tran,"After reuniting as middle-aged men, three kung-fu prodigies must set their differences aside and dust off their skills to avenge their beloved mentor."
s298,TV Show,Navarasa,TV Shows,2021-08-06,TV-MA,"Bejoy Nambiar, Priyadarshan, Karthik Narain, Vasanth Sai, Karthik Subbaraj, Arvind Swamy, Rathindran R Prasad, Sarjun, Gautham Vasudev Menon","From amusement to awe, the nine human emotions of Indian aesthetic theory are explored in this anthology series."
